C Num	Enc Time	Test Time	Dec Time	
41200.000000	520.599542	5404.862366	284.015722	
41300.000000	521.849168	5417.831855	284.692116	
41400.000000	523.123256	5431.050081	285.398620	
41500.000000	524.287925	5443.134580	286.037796	
41600.000000	525.442444	5455.105586	286.659331	
41700.000000	526.658073	5467.718525	287.318796	
41800.000000	527.923595	5480.858912	288.008694	
41900.000000	529.248528	5494.624858	288.721226	
42000.000000	530.415072	5506.739860	289.352224	
42100.000000	531.597351	5519.005351	290.000807	
42200.000000	532.928803	5532.838550	290.725158	
42300.000000	534.110486	5545.110593	291.365118	
42400.000000	535.450737	5559.043522	292.117757	
42500.000000	536.586397	5570.828733	292.732773	
42600.000000	537.762255	5583.037205	293.373724	
42700.000000	539.029844	5596.198640	294.044960	
42800.000000	540.262756	5608.995895	294.717914	
42900.000000	541.544510	5622.307339	295.411380	
43000.000000	542.722060	5634.526095	296.046469	
43100.000000	543.914762	5646.903954	296.683950	
43200.000000	545.185483	5660.096021	297.371121	
43300.000000	546.399110	5672.696309	298.048915	
43400.000000	547.643756	5685.605397	298.732769	
43500.000000	548.917052	5698.808813	299.425243	
43600.000000	550.099044	5711.075191	300.074857	
43700.000000	551.356541	5724.154310	300.777726	
43800.000000	552.594934	5737.005525	301.461595	
43900.000000	553.850988	5750.036969	302.149159	
44000.000000	555.327832	5765.388622	302.958549	
44100.000000	556.511536	5777.654128	303.593869	
44200.000000	557.758052	5790.608711	304.281994	
44300.000000	559.000697	5803.504357	304.960247	
44400.000000	560.219580	5816.228724	305.644365	
44500.000000	561.465960	5829.192123	306.347858	
44600.000000	562.625903	5841.224494	306.976555	
44700.000000	563.850792	5853.924351	307.630639	
44800.000000	565.052356	5866.380630	308.288450	
44900.000000	566.304996	5879.395437	308.974017	
45000.000000	567.481273	5891.596184	309.610852	
45100.000000	568.644675	5903.668275	310.249269	
45200.000000	569.829259	5915.977602	310.898563	
45300.000000	571.118490	5929.356480	311.608499	
45400.000000	572.376873	5942.429018	312.291292	
45500.000000	573.630810	5955.432100	312.975435	
45600.000000	574.863630	5968.221612	313.642102	
45700.000000	576.213307	5982.236848	314.371986	
45800.000000	577.472242	5995.295997	315.061762	
45900.000000	578.856469	6009.692502	315.811060	
46000.000000	580.061530	6022.213559	316.463467	
46100.000000	581.223708	6034.277449	317.101694	
46200.000000	582.459900	6047.114215	317.773117	
46300.000000	583.655824	6059.540763	318.427936	
46400.000000	584.951660	6073.016043	319.149962	
46500.000000	586.136316	6085.305805	319.792203	
46600.000000	587.348845	6097.885818	320.447250	
46700.000000	588.480628	6109.620609	321.066247	
46800.000000	589.722247	6122.510920	321.744492	
46900.000000	590.994350	6135.725183	322.450704	
47000.000000	592.260351	6148.863955	323.151759	
47100.000000	593.513256	6161.862879	323.844752	
47200.000000	594.753089	6174.729433	324.516100	
47300.000000	596.061646	6188.336515	325.219272	
47400.000000	597.307312	6201.250377	325.885273	
47500.000000	598.585531	6214.527826	326.585901	
47600.000000	599.739704	6226.495233	327.221397	
47700.000000	600.879257	6238.325372	327.844378	
47800.000000	602.197440	6252.022209	328.556902	
47900.000000	603.403669	6264.558949	329.224049	
48000.000000	604.674677	6277.766166	329.915701	
48100.000000	605.901782	6290.500741	330.585634	
48200.000000	607.118982	6303.131742	331.250301	
48300.000000	608.438111	6316.816645	331.971668	
48400.000000	609.920110	6332.224455	332.812391	
48500.000000	611.170977	6345.213304	333.501084	
48600.000000	612.386034	6357.820630	334.156426	
48700.000000	613.549829	6369.888339	334.792719	
48800.000000	614.829423	6383.177609	335.508047	
48900.000000	616.021324	6395.552149	336.162893	
49000.000000	617.302959	6408.855438	336.868938	
49100.000000	618.454391	6420.800142	337.516258	
49200.000000	619.602334	6432.699933	338.135323	
49300.000000	620.878421	6445.952182	338.852613	
49400.000000	622.068728	6458.294134	339.498650	
49500.000000	623.298830	6471.035552	340.171359	
49600.000000	624.519803	6483.707218	340.834610	
49700.000000	625.669229	6495.622377	341.453176	
49800.000000	626.859742	6507.952390	342.096542	
49900.000000	628.090665	6520.751166	342.759043	
50000.000000	629.422029	6534.557076	343.470824	
50100.000000	630.726649	6548.092976	344.172890	
50200.000000	631.880163	6560.058393	344.801811	
50300.000000	633.083360	6572.548628	345.466524	
50400.000000	634.209673	6584.223146	346.082946	
50500.000000	635.371209	6596.268673	346.710649	
50600.000000	636.549507	6608.497319	347.362629	
50700.000000	637.694702	6620.371766	347.983610	
50800.000000	638.805288	6631.885066	348.584837	
50900.000000	640.064929	6644.961882	349.268868	
51000.000000	641.294519	6657.731667	349.926843	
51100.000000	642.441413	6669.607568	350.544580	
51200.000000	643.700387	6682.675424	351.236741	
51300.000000	645.135293	6697.596998	352.035167	
51400.000000	646.615757	6712.981663	352.857296	
51500.000000	647.996831	6727.361131	353.627801	
51600.000000	649.428086	6742.238212	354.414630	
51700.000000	650.941899	6757.987690	355.274004	
51800.000000	652.497818	6774.139390	356.129021	
51900.000000	653.700444	6786.623912	356.787293	
52000.000000	654.882051	6798.877792	357.432714	
52100.000000	656.029100	6810.778050	358.063802	
52200.000000	657.292374	6823.895111	358.751495	
52300.000000	658.559780	6837.059836	359.449869	
52400.000000	659.771008	6849.632711	360.105718	
52500.000000	661.145101	6863.935308	360.871181	
52600.000000	662.331892	6876.246200	361.502606	
52700.000000	663.542685	6888.806682	362.161989	
52800.000000	664.832247	6902.192421	362.862759	
52900.000000	666.005193	6914.365883	363.504711	
53000.000000	667.281774	6927.619848	364.202499	
53100.000000	668.453269	6939.770665	364.841797	
53200.000000	669.649257	6952.181253	365.482175	
53300.000000	670.910695	6965.275936	366.193072	
53400.000000	672.105077	6977.677493	366.846403	
53500.000000	673.309893	6990.174456	367.500027	
53600.000000	674.513464	7002.657967	368.142178	
53700.000000	675.789351	7015.908370	368.837159	
53800.000000	677.334166	7031.968341	369.695935	
53900.000000	678.716530	7046.357541	370.477103	
54000.000000	680.069876	7060.414152	371.224075	
54100.000000	683.351265	7094.776688	372.987764	
54200.000000	684.910782	7110.888367	373.779945	
54300.000000	686.110906	7123.342080	374.433556	
